F14x,F14y,F34x,F34y,F74x,F74y,F76x,F76y,F62x,F62y,F32x,F32y,F12x,F12y,Min
1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0
0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0
0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0
0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
